category,alcohol (%),rating,price ($)
Red,15.6,91,40
White,13.5,88,19
Red,14.2,88,34
Red,14,85,11
Red,15.1,85,30
Red,13.5,86,20
Red,14.7,84,25
Red,15.4,87,20
Red,14.5,93,45
White,12.8,92,42
White,12.5,87,20
Red,14.9,92,34
Red,14.8,90,50
Red,14.5,84,20
Sparkling,13,91,50
Red,14.4,91,26
Red,16,90,32
Red,14,88,17
Red,13,86,13
Red,14.5,87,18
White,11.5,86,10
White,11.5,85,12
Rose,13.1,87,17
Red,14.4,90,30
Red,14.4,90,39
Rose,14.1,90,24
White,12,84,18
White,13.5,91,21
Sparkling,12,87,21
Red,13.5,90,23
Red,12.5,85,10
Red,13.5,91,30
White,12.5,85,31
Red,14.2,95,100
Rose,13,88,17
Red,15.5,92,150
White,12,85,9
White,12.3,90,16
Red,14.5,91,35
Rose,13.5,86,25
Red,13.5,86,13
Red,14.6,90,30
Red,14,87,23
White,14.1,89,24
White,13.5,86,13
Red,13.7,88,52
Rose,12.5,90,35
Red,13.5,85,15
Red,14,89,70
Red,14.5,91,49
White,14.3,90,30
Rose,13.5,89,12
White,13,84,18
White,13.5,86,25
Red,14.9,85,48
Red,13.5,89,17
Red,13,90,34
White,13,89,25
Sparkling,7,86,15
Red,14,87,22
Red,14,92,71
Red,13.5,87,34
White,12.8,84,15
White,12.6,83,15
White,12.5,88,35
White,11.5,91,48
Red,14.2,91,40
Red,13,88,36
White,14.3,90,30
Red,13.5,83,17
White,9.5,87,10
White,12.5,89,16
White,10.5,90,20
Sparkling,12,94,99
White,13.5,85,9
White,13.5,89,20
Rose,12,88,17
Red,14,82,14
Red,13.5,88,32
White,12,88,18
Red,13,87,30
White,14.27,90,18
Red,14.3,90,45
Red,14.5,92,65
Red,14.9,92,48
White,13.5,84,5
Port/Sherry,20,94,63
Red,13.5,90,50
Red,15.9,88,35
Red,14.1,86,30
Rose,13,86,13
Red,14.2,83,10
Red,14,89,14
Red,14.9,90,23
White,14.5,84,14
White,12.5,85,10
White,12.5,90,30
White,12.5,88,20
Red,14,85,19
Red,13.5,95,48
Dessert,10.5,97,135
White,12.5,85,12
Sparkling,12,89,40
Red,13.5,92,65
White,13.8,87,18
Red,13,88,22
Red,14,87,30
Red,13,83,9
White,13,92,26
Red,14.9,84,50
Sparkling,12,88,40
Red,15.3,87,50
White,12,86,14
Red,12.5,87,13
White,14.4,83,20
White,12,89,14
Red,13,92,103
White,13.3,88,20
Red,13.3,88,29
White,12.1,90,20
White,14.1,88,60
White,14,90,28
White,13.9,88,18
White,14,92,32
White,12.5,84,10
White,13.3,87,13
White,12.5,87,16
Red,12.7,90,38
White,12.5,88,20
Red,13.5,88,16
White,13.5,93,25
Red,15.1,91,50
Red,13,91,57
Red,13.5,92,50
Red,15.4,88,25
White,13.2,89,19
Red,14,93,130
White,13.5,87,16
Red,14.5,88,33
White,14.4,92,40
Sparkling,12.5,87,18
White,13.7,90,20
Red,11.5,82,12
Sparkling,11.5,87,22
Red,13.5,86,19
Red,13.5,93,60
White,12.5,87,15
Dessert,13.5,90,72
White,13.9,92,25
White,13.8,89,25
Red,13.9,89,30
Red,13.5,86,22
White,14.5,87,17
Red,13.5,88,32
Rose,13,89,12
White,14,88,61
Red,15.5,92,46
White,13,92,19
White,9,89,23
Red,14.5,87,45
Sparkling,12,88,16
Red,13,91,25
Red,14.5,90,85
Red,14.5,89,40
Red,14.5,89,20
Red,14,90,55
Red,14.4,91,45
Red,13.8,89,21
Red,13,84,22
Red,13.5,89,12
White,13,89,23
Red,14.5,85,60
Red,14.5,90,78
White,11.5,89,16
Dessert,14,93,45
White,12.5,92,29
Red,14.2,87,29
Red,14.9,88,29
Red,13.5,90,28
Red,14.6,90,42
White,12,88,18
Red,13.5,89,60
Red,14,85,14
Red,14.2,90,150
White,13.2,95,95
White,14,93,50
White,12.9,90,19
Red,14.2,90,100
Red,14,93,100
Rose,12.6,86,17
Red,14.1,85,36
White,13.9,81,18
White,11.5,96,30
Dessert,13,88,22
Red,14.4,93,27
Red,14.5,85,24
Red,13.5,96,80
Rose,12.5,86,20
Red,14.5,89,38
White,13.5,92,35
Red,14.5,93,80
White,13,85,14
White,13.9,86,17
White,13.5,84,12
White,11.5,85,11
White,13.5,88,16
Red,11.5,86,39
Red,13,89,29
White,13,85,25
Red,13.6,86,13
Red,13,88,42
White,13.2,88,24
Red,14,89,38
Red,14.5,92,20
Red,14.5,90,22
Red,14.5,84,43
Sparkling,11,86,19
Red,15,92,95
Red,12,89,24
Red,14.5,93,100
White,14,89,20
Red,14.5,87,36
Red,14,86,30
White,13,87,12
Red,13.6,91,28
White,13.5,85,22
White,14.3,91,40
White,13,88,18
Red,15,92,50
Red,14.1,93,120
White,14.3,82,16
Red,14,88,35
White,13,89,15
Rose,13,88,25
Red,14.5,91,45
Red,13.6,86,12
White,13,85,14
Red,14.5,90,29
Red,14.5,91,30
White,13,80,13
White,13,86,15
White,13.5,84,20
Rose,13,86,16
Red,15,88,32
Red,14,93,50
Red,14.5,91,33
White,12.5,86,24
White,11,85,10
Red,14,86,13
Port/Sherry,20.9,96,90
White,13,83,30
Red,14.1,93,88
Red,13,88,16
Red,14.5,88,32
Red,14.5,91,50
Red,13.2,91,30
Red,12.5,86,10
Rose,12.5,89,20
Red,14.5,89,36
Red,13.5,86,12
Red,14.5,89,19
Red,14,84,12
Red,14,91,60
Red,12.5,86,16
Sparkling,12,93,107
Red,14,93,50
Red,14.5,86,55
Red,14.1,87,25
Sparkling,12,93,42
White,12.5,89,25
Red,14.5,88,28
White,7.5,93,48
Red,13.3,94,65
White,13,86,16
White,13,94,38
Red,14,91,70
Rose,12.2,91,28
Red,14.1,85,40
Rose,13.5,84,12
Red,16,88,35
White,13.5,89,35
White,13,89,65
Red,13,92,47
Red,13.7,88,35
Red,12.5,80,28
White,14.6,91,24
Red,14.5,93,64
Red,14.2,92,45
Sparkling,11,87,13
Sparkling,12,93,33
Red,14,86,18
Red,14.9,91,25
White,13.3,82,9
Sparkling,12,90,75
Red,14,85,15
Red,13.5,87,12
Red,14,84,16
White,14.2,91,40
Red,14.5,91,45
Red,14.1,93,50
Sparkling,12.5,87,25
Red,13,83,11
White,13,88,16
White,13,90,35
Red,13.5,95,62
Red,13.3,86,45
Red,13.9,92,25
Red,14,87,35
White,13.9,82,10
Red,13.5,91,29
White,13.5,93,57
Red,14,83,10
Red,13.5,87,35
Red,14,86,22
Red,14.9,93,45
Red,14,87,20
Red,14,92,53
Red,14.5,87,18
Red,15.5,86,32
White,12.5,92,25
Red,13.5,83,25
Red,13.7,88,48
Rose,13.5,80,20
Red,12.5,87,13
White,12.5,88,13
Red,14,87,20
White,13.5,88,25
Red,15.5,88,60
Red,13.5,88,40
Red,13.8,82,14
Red,14,87,19
Sparkling,11.5,92,50
White,13,86,15
Red,14.5,90,40
White,12.5,85,15
Red,14.6,86,15
Red,14.5,84,45
Red,14.5,89,40
Red,14.2,88,40
Red,13,88,12
Red,13.9,84,20
Red,15,93,300
Red,14,94,98
White,13.5,90,40
White,14.1,92,24
Red,13.5,95,60
White,13.2,89,18
White,13.5,90,15
White,13,84,10
Red,13.5,90,39
Red,14.3,90,15
Red,13,89,14
White,12.5,90,17
White,13.5,86,15
White,12.8,95,38
Red,14.5,93,70
Red,13,90,24
White,14.2,85,35
Red,13,88,15
Red,14.5,93,275
White,8.5,88,19
White,11.5,88,18
Red,13,92,80
Red,14.8,85,21
White,13.5,92,50
Red,15.5,89,45
White,14,92,46
Red,15,94,28
Red,14.5,91,50
Red,14.5,90,38
Sparkling,12,93,28
White,12.1,83,17
Red,14.8,92,42
Red,13.5,93,40
White,12.9,89,35
Red,13.8,86,60
Red,14.5,92,45
White,13,88,16
Red,14,93,50
White,12.5,90,18
Red,15,92,30
White,14.4,84,45
White,12.5,85,20
Red,14.5,91,40
White,12.5,84,18
Rose,13.5,90,20
White,14,88,23
Red,14.5,91,60
White,12,83,10
White,13.5,90,25
Red,15.5,88,35
Red,14.4,89,36
Red,14,86,20
White,12,88,28
Red,15.1,83,40
Red,14,88,16
White,14,91,70
Red,15.2,86,55
Sparkling,12,94,80
White,11.5,83,12
Red,14.5,87,125
Red,14.5,88,30
Sparkling,13.5,92,40
Red,14.5,90,55
White,13.5,88,29
White,13.5,86,15
Red,13.2,91,30
Red,13.5,88,15
Red,14.5,87,24
Red,14.5,86,25
Red,14.5,89,40
Red,13.6,83,8
Sparkling,12.9,82,72
Red,14.1,94,70
White,9.5,88,20
White,13.5,94,79
White,13.5,85,8
Red,14.8,93,56
Red,15.3,88,34
White,13.5,87,18
Red,14,84,28
Red,14.1,89,12
White,13,94,30
White,13.5,86,13
Sparkling,11,84,15
Red,13.7,90,15
Red,14.5,92,18
Red,13,91,24
White,13.5,83,13
Red,14.3,95,95
Red,14.5,89,65
Red,13.9,89,20
Red,15.2,92,150
Red,13,88,25
White,12,88,12
Red,15.1,89,20
Red,14.5,88,24
Red,13,86,17
White,13,85,25
Red,13.5,88,30
Red,14.5,89,22
Red,13,86,18
White,12,91,16
White,14,90,20
Red,13,86,14
Red,13.8,89,62
Red,15,88,15
White,12,86,8
White,13.7,88,18
Dessert,5,95,90
Red,14.9,91,60
White,11.5,92,42
Red,13.6,92,40
Red,15,92,90
White,13.5,90,45
White,13,93,25
Red,13.5,92,75
Sparkling,12,86,45
Dessert,10.5,87,19
Red,14.5,87,30
Red,14.5,90,18
White,12.5,83,14
Red,13,90,50
Red,14.1,90,38
Red,14.5,88,20
Red,14.5,91,19
Red,12.8,87,45
Red,14,88,15
Red,14.3,93,55
Red,13.5,87,14
Dessert,10.5,92,25
White,13.3,91,21
White,13,88,15
Red,13.8,86,12
Red,12.5,87,18
Red,14.8,94,155
White,14,89,60
Red,15.8,84,24
Red,14.2,86,20
Red,14.9,88,20
White,14,91,30
Red,14.5,94,26
Red,13.7,94,55
Port/Sherry,20,97,40
Red,14,87,9
White,14,84,14
Red,13,90,20
Red,13.5,87,16
White,13,90,17
Red,12.5,87,11
White,12,87,15
Red,13.9,90,52
Red,13,90,35
Red,14.5,85,38
Red,14.5,88,68
White,13,92,42
White,13.4,83,15
Red,13.5,90,23
Red,12.5,87,9
White,13,87,16
White,14.7,86,24
Red,13.5,88,28
Red,13.5,87,9
Red,13.5,84,18
Sparkling,13.5,87,49
White,14.6,84,16
Red,14.5,93,78
Red,13.5,84,9
White,14.1,88,16
Rose,12.5,83,7
Red,14.6,90,32
Red,14.4,88,22
Dessert,15,87,30
White,13.5,87,16
Red,13.5,91,28
White,13.5,90,26
White,12.15,86,11
Red,14.5,91,25
Red,13,93,25
White,14,88,25
Dessert,13,90,30
Red,14.6,88,28
Red,14.6,87,40
Red,12.9,87,30
Red,13,94,45
White,12.5,88,13
Red,15.1,90,52
Red,14.3,93,60
White,14,87,13
Red,13,93,56
Red,13,93,43
Red,13,94,58
Red,13,87,19
White,14.2,89,23
White,14.5,88,15
Red,14.1,89,21
Red,13.9,91,90
Red,14.5,93,45
Red,14.6,88,32
White,13.8,83,22
Red,13.5,89,11
Red,12.5,85,8
White,13,84,22
Red,14.5,86,20
White,7.5,91,30
Red,13.5,88,20
White,13,86,11
Red,14.2,85,38
Red,13.8,87,24
White,13,86,15
Red,13.5,90,30
Red,14.8,91,24
Red,14.5,90,32
Red,14.7,93,85
Red,13.5,90,25
Dessert,12,89,23
Red,14.7,81,20
White,12,85,17
Red,14.5,86,17
White,12,85,9
Red,14.8,91,85
Red,14.7,93,54
Red,13.07,86,42
White,13,90,27
Red,14,88,19
Red,14,87,50
Red,13.5,91,41
White,13,87,17
Red,13,83,15
Red,14,88,12
White,13.5,92,29
Red,12.8,89,30
Red,14.9,86,75
Red,14.1,88,45
Red,13,90,40
Red,14.6,91,100
White,12,87,15
Rose,13.3,86,10
Rose,13,92,25
Red,14,88,90
White,13.5,88,25
White,14.5,87,22
Red,14.5,88,33
Red,14.5,88,48
Red,13.5,85,14
Red,14.5,90,30
Sparkling,12.5,90,72
Red,13.3,92,55
White,15,89,23
Red,14.7,87,25
Red,13.8,88,34
Sparkling,12.5,90,55
Red,14.8,91,50
Red,14,84,12
Red,13.6,94,60
Red,13,87,27
White,13.5,88,10
Port/Sherry,18,86,13
Red,13.5,85,14
White,13.5,89,18
Red,15.1,87,32
Red,14,88,25
Red,14.1,89,23
White,14.5,91,30
Red,16.5,90,50
White,14.3,95,70
Red,13,89,22
Red,14.5,90,65
White,11,84,13
Red,13,94,130
Red,12.5,86,11
Red,14.5,88,20
White,13.5,89,28
Sparkling,11,90,30
Rose,14.1,91,18
Red,13.4,87,25
Red,14.6,93,60
Red,14.5,85,38
Red,14.2,91,15
White,14.5,91,50
Red,12.9,91,44
White,12.5,87,19
Red,14.5,90,40
White,13.5,85,15
White,13.5,92,121
Red,14.1,90,23
Red,13.7,90,46
Sparkling,11.5,86,14
Red,14.2,93,70
Rose,12.5,84,11
Red,14,93,50
Red,13,90,45
Red,12.5,92,90
Rose,12.5,86,20
White,13.3,92,20
Red,14,82,17
White,14.2,88,43
White,14,85,17
Red,14.8,93,120
Rose,13.5,91,35
Red,15,86,24
White,14.5,89,16
White,12.5,93,28
Red,14,89,60
Red,14.5,90,77
White,13.5,90,30
Red,14.5,87,22
Red,14.5,91,25
White,12,85,11
White,13,90,15
Red,13.5,85,20
White,12.5,89,15
White,12.5,86,13
Red,15.6,88,65
Red,12.5,84,13
Red,14,89,25
Red,15,92,45
White,12.5,88,19
Red,13,85,10
Red,14,90,27
White,10.2,89,26
White,14,88,38
Red,14.1,92,40
Red,13.9,88,15
White,12.7,83,14
Red,13,87,10
Red,13.5,87,17
Sparkling,12,88,30
Red,12.7,84,20
Red,14.5,90,19
White,12.5,84,9
Red,14.5,93,45
Red,15,89,65
Red,13,91,65
Red,14.2,87,17
Red,14.5,90,65
Red,14,86,9
Red,14.2,93,85
White,14,80,9
White,11.5,85,14
Red,14,89,70
White,13.7,86,30
Red,14.6,86,36
Red,13,85,13
Red,14.5,87,19
Red,14.9,91,70
Red,13.5,94,205
Red,16,93,110
Red,14.2,88,50
White,14.5,86,36
Red,13.5,94,46
Red,14.7,90,35
Red,13.5,87,61
White,14,87,40
White,12.5,87,22
White,13.4,86,18
White,11.5,86,14
Red,14.3,85,30
White,14,85,13
Red,14,95,125
White,13,84,8
Red,13.5,84,12
Red,13.5,91,17
Red,14,88,14
Red,14.8,92,45
Rose,10,86,15
White,13.9,91,32
Red,14.8,87,65
Sparkling,12,88,50
White,14.3,87,25
Red,14.5,84,35
Red,15,88,30
Red,14,91,30
Red,13,93,75
Red,14.1,90,40
Red,14,87,55
Sparkling,11.5,92,35
Red,12.5,85,37
Red,13.5,89,23
White,13,86,20
White,14,87,24
White,13,90,60
Sparkling,11.5,84,15
Sparkling,12.5,91,50
Red,15,86,65
White,13.5,92,24
Red,14.4,85,30
Red,13.5,87,29
Red,14.2,86,40
White,14.1,89,25
Sparkling,11.5,91,30
Red,16,86,51
Dessert,20,88,18
Red,13.8,89,40
Red,13.7,90,29
Red,14.2,90,32
Red,13.5,88,20
White,14,88,35
White,12.5,84,12
Red,14.9,92,68
White,13.9,90,24
Red,13.5,88,40
Rose,12.2,90,15
Red,14.5,90,38
White,13.6,86,20
Red,13.7,90,50
White,12.1,86,8
Red,14,91,26
Red,13.5,89,60
Sparkling,12.5,87,40
Red,13.8,91,60
Port/Sherry,20,89,25
Red,14,89,70
Red,14,91,90
White,13,90,26
Red,14.5,92,17
Red,14.1,87,36
Red,13.8,91,125
White,13.5,89,20
Red,14.5,87,13
White,12.5,91,36
White,14,88,36
Red,14.5,95,70
White,12.1,90,22
Red,13.9,82,20
Red,14.5,91,40
Red,17,87,110
Red,13.5,94,80
Red,15.3,94,90
Red,14.4,88,25
Rose,13.5,89,18
White,14.1,89,20
White,14.5,92,16
Dessert,12.5,92,37
White,13,90,18
Red,14.3,85,23
Red,14,94,70
Red,13.1,92,60
White,13.9,88,22
White,13,93,20
Red,14.5,86,17
White,13.5,89,10
White,14.2,91,45
Red,13,88,15
Red,13.5,87,23
Red,15,98,80
Red,13.5,90,32
Red,13.5,90,35
Red,14.5,86,30
Red,13.5,88,19
White,14,89,47
Red,14.6,89,35
Red,12.5,85,14
Red,13,88,18
White,12,86,20
Red,14,84,23
Red,13.5,82,10
Sparkling,12,90,30
White,13.2,89,20
Red,13.5,88,19
Red,15,96,60
White,13.2,85,15
Red,12.5,87,30
White,13.5,90,21
Red,14,93,28
White,13,88,40
Red,14,91,48
Red,14.3,88,25
White,12,90,19
Red,14.5,90,30
Red,14.5,92,30
Red,14,90,14
Red,13,83,40
Rose,13,91,29
Red,13,83,25
White,13.5,87,17
Red,13,89,30
Red,13,88,16
White,13,86,25
White,13,89,28
Rose,12,83,10
Red,14.8,85,25
Rose,13.5,85,10
Red,15.2,84,32
Red,13.5,86,12
Rose,12.5,86,14
White,8,93,35
White,12,85,18
Red,13.5,84,21
Red,14.9,92,125
Red,14,89,29
Red,13,83,13
White,13,85,12
Rose,12.5,84,11
Red,12.9,93,85
Red,15.6,85,36
Red,14.5,91,60
Red,15,92,32
Red,12.5,85,8
White,13.8,90,22
White,12.5,87,17
Red,13,88,19
White,13,88,30
Red,13,90,60
White,14.3,91,58
Red,14.5,90,35
White,12.5,91,18
Red,13.5,87,35
White,13.1,91,25
Red,14.8,94,62
Red,13,91,42
Red,14.5,87,28
Red,13.5,91,18
White,14.1,86,30
White,12.5,93,50
Red,14,92,30
Red,14,91,16
Sparkling,12,93,55
White,10.8,87,50
Red,14.8,88,55
Red,15,91,31
White,13.7,83,9
Rose,13.8,90,20
Red,14,88,16
White,13,90,22
Red,15.1,84,36
Red,13.1,83,14
Red,15,92,125
Red,14.5,93,120
White,13.5,89,45
White,13.5,89,25
White,8,90,23
White,12.5,84,13
White,13.3,93,30
White,13.5,88,28
White,13.5,90,25
Red,14.5,89,62
Red,14,88,14
Red,14,87,17
Red,14.3,91,45
White,13.5,93,24
Red,14.8,92,60
Red,14.5,84,34
Red,14,94,60
Red,13.5,88,17
Dessert,14,90,30
Red,13.5,90,40
Red,14,87,14
White,12.5,93,49
White,13.5,94,30
Red,13.5,93,48
White,13.5,85,16
White,14,92,32
Rose,13.1,86,18
Red,14.7,93,45
White,12.2,90,23
White,14.4,88,55
Sparkling,12,88,55
Sparkling,12.5,91,150
Red,13.5,84,9
White,14.5,88,40
Red,13.6,88,22
White,13.5,90,37
Rose,13,89,17
Red,14.5,92,30
Red,13.5,86,9
Rose,13,83,18
Red,13,85,9
Red,14.5,86,15
Red,13.5,91,25
White,9.5,86,13
White,13.5,90,95
Red,13.5,87,65
Red,14.5,92,75
Red,12.5,82,14
Red,14.5,88,45
White,13.5,84,14
Red,14,88,21
Red,13.5,90,19
Red,14.4,88,18
Red,15.5,81,85
Red,14,93,48
Red,15.2,91,60
White,13.5,88,15
Red,14.1,92,48
Red,14.5,85,30
Red,13.9,88,22
White,13.5,90,28
Red,14.1,91,95
Red,13.5,95,55
Red,14.5,97,155
Red,13,91,27
Sparkling,12.5,88,60
Red,16,97,138
Red,14.1,87,15
Red,13,90,80
White,13,88,14
White,12.5,89,24
Red,14,85,12
Red,13.5,91,25
White,13,85,12
Red,13.5,90,55
Red,13,91,44
White,12.5,90,15
Red,14,88,16
Red,14.5,86,14
Red,14,83,15
White,12,90,16
Red,14,91,50
Red,13.5,86,20
White,14,87,16
Red,14.9,89,39
Red,14.3,91,65
Red,14.8,91,90
Red,14,90,22
White,13.8,91,25
Red,14,90,16
Red,14.3,90,40
White,11.5,87,40
Red,14.6,85,35
White,13.5,90,32
White,12.7,81,17
Rose,12.5,85,12
Red,12.5,89,24
Red,14.5,89,23
White,13.5,87,30
Red,15.1,87,68
Red,13.5,88,15
Red,14.5,90,14
Red,13,89,14
Rose,13,90,25
White,13.5,89,26
White,14.1,88,20
White,13,89,26
Sparkling,12,88,60
Red,14.5,82,9
Red,14.9,90,35
Rose,13,86,19
Red,14,87,58
White,14,95,58
White,12.5,87,19
White,14,84,16
White,13,90,28
Red,14.5,86,18
White,14.5,94,50
Red,14.5,86,23
Red,14.1,95,68
Red,14.6,88,28
Sparkling,12,89,13
Red,13,86,20
White,13.5,87,17
Sparkling,12,94,110
Red,13,85,32
Red,14,94,45
Red,14.1,85,25
Red,14.8,91,43
Sparkling,9.5,84,17
Red,13.5,87,17
Red,13,91,42
Sparkling,11,84,13
Red,13,88,14
White,13,88,30
White,13.5,85,10
White,12.5,87,20
White,14.5,87,30
Sparkling,11.5,84,19
Red,14.4,89,29
White,13,86,12
White,13,91,45
Red,14.5,94,60
White,12,83,8
Red,15.5,88,56
Red,13.5,88,37
White,12.5,85,11
White,14.1,88,20
Red,14,84,36
Red,13.5,84,24
Red,14.5,91,40
Red,14.7,92,48
White,13.7,86,18
Red,13,87,25
Red,14.5,91,20
White,12.5,94,33
Red,14.8,87,44
Red,15,90,37
Red,14.2,94,75
Red,12.5,88,40
Red,13.2,84,10
White,13,86,20
Red,14.6,90,90
White,12.5,88,12
Red,13.8,92,130
Sparkling,12,89,65
White,13.6,88,15
Red,13.2,92,38
White,12,87,10
Red,13,88,16
Red,14.2,88,46
Red,13.5,91,24
White,14.3,86,27
Red,13.5,86,13
Red,15.2,86,30
Red,14,89,25
White,13,88,18
White,13,97,35
Red,14,90,32
Red,14,94,112
Red,13.9,80,10
White,11,87,18
Red,14.4,88,32
Red,14,88,40
Red,13.5,84,9
Red,13.5,87,27
White,12.5,88,10
White,13,88,40
Red,13.5,85,12
Red,14,84,12
Sparkling,5.5,87,15
Red,13.5,82,28
Red,14.8,92,65
Red,15.5,88,30
White,12.5,87,60
Rose,12.5,83,25
Red,14.5,91,20
White,13.5,90,12
Red,16,89,70
Red,15,92,40
Red,14.4,91,40
White,13.5,93,36
Red,14.4,92,35
Red,14.5,88,20
Red,13.9,83,21
White,13,85,15
Red,14.5,92,30
Red,13,90,22
Red,15,88,40
Red,14.2,92,20
Red,14.1,87,9
Red,14.6,86,33
Red,12.3,82,25
Red,14,90,16
White,13.5,85,9
Red,14.3,86,19
White,13.1,86,16
Red,13.5,92,45
White,13,91,36
White,11.5,90,10
Red,13.5,89,18
White,14,90,20
White,14.3,82,24
Red,13.5,86,9
Rose,13.9,86,16
White,13.5,94,28
Red,14,86,46
White,13,88,26
Red,12.5,87,16
White,14.1,88,20
Red,14.5,90,27
Red,14.5,91,52
Red,14.9,91,89
White,12,85,8
Red,14.35,90,40
Red,14.1,88,29
White,12,91,23
Sparkling,12.8,98,185
White,14,81,10
Red,13.8,82,24
White,14.1,90,75
White,13,90,19
White,12.5,87,20
White,13,93,47
White,12.5,89,19
Red,14.9,90,35
Red,13.7,86,15
Rose,8,85,13
Sparkling,13,90,32
White,13.5,82,24
Red,13.5,84,8
Rose,12,82,12
White,13.2,87,20
Red,15.5,89,54
White,12.5,91,30
Red,14.9,89,35
Red,14.3,91,50
Red,13.5,90,40
Red,14,92,47
White,12,88,17
Red,14.3,85,38
Red,14.4,88,20
Red,14.5,92,40
Red,14.9,90,120
Red,14.5,92,60
Red,13.5,85,24
Red,13.7,87,30
White,12.5,86,15
Dessert,13.8,96,48
Red,14.1,92,58
Red,14.5,91,45
Red,14,90,36
Red,14,88,28
White,13,87,9
Red,13.5,89,50
White,13,88,129
Red,14.5,88,24
Red,13,89,25
Red,13,87,15
Red,15,88,30
Red,14.3,93,55
Red,14,94,45
Red,14.1,86,30
Red,14.5,87,30
Port/Sherry,20,95,90
White,12.5,84,10
Red,13.5,88,18
Red,14.9,81,18
White,12,88,12
